nodeID,workerID,start_time,stop_time,task,return_code,file_path
h36n13,Worker-25ccc599-e18a-4cf5-a113-5d760801f9fe,1673626582.5611854,1673626584.8514345,processing,0,Sphmag07G107400.1
h36n13,Worker-7368a34a-eeb3-476e-9b6f-463ed84bd30d,1673626574.8910463,1673626574.9222002,postprocessing,0,Sphmag08G030300.1
h36n12,Worker-b11df8e0-9be6-4b23-9fc7-b944abcb2b77,1673626574.8862603,1673626574.9307296,postprocessing,0,Sphmag11G115800.1
h36n13,Worker-f12de370-7c82-4d7c-b6e9-1329a0add584,1673626574.9208825,1673626574.956425,postprocessing,0,Sphmag07G002600.1
h36n12,Worker-7c747fed-fb35-4e84-944e-4543c650cef5,1673626574.9310272,1673626574.9618938,postprocessing,0,Sphmag19G074900.1
h36n13,Worker-37a6c7e3-5859-4faf-87cf-3ac9709dd9cf,1673626574.974241,1673626575.012678,postprocessing,0,Sphmag01G106500.1
h36n12,Worker-5e31c79d-c153-4b17-8a60-7a8be840ca48,1673626575.0293846,1673626575.0643203,postprocessing,0,Sphmag16G090100.1
h36n12,Worker-cd625b0b-c7e9-4771-9d26-f340312adcb9,1673626575.199788,1673626575.2450418,postprocessing,0,Sphmag16G063400.1
h36n13,Worker-13ce5b4f-b334-4a3f-ac04-292125d9034c,1673626575.279235,1673626575.3359468,postprocessing,0,Sphmag08G093900.1
h36n13,Worker-61f0bb78-eae6-419c-bb30-6ffc27e308d0,1673626582.581749,1673626585.3343208,processing,0,Sphmag16G035900.1
h36n13,Worker-8b3a33c1-6815-4195-9e3d-2845a6a8811c,1673626575.464298,1673626575.5039403,postprocessing,0,Sphmag16G097600.1
h36n13,Worker-7c6bc4a7-ed69-44e8-94e1-4706eaaed715,1673626575.653819,1673626575.6961014,postprocessing,0,Sphmag07G073400.1
h36n12,Worker-02860a1f-0848-499a-8323-2c5db35a7dfa,1673626575.6905165,1673626575.7193701,postprocessing,0,Sphmag06G122200.1
h36n13,Worker-8539bd1e-1b85-4929-809f-6c14462511ad,1673626583.356941,1673626585.7460392,processing,0,Sphmag16G011100.1
h36n12,Worker-d67a2f4b-8ad7-47d6-910f-778f31051a0d,1673626583.2323866,1673626585.7948856,processing,0,Sphmag12G104200.1
h36n12,Worker-082d0ce8-3089-4383-9603-db746856afef,1673626583.3269105,1673626585.8326144,processing,0,Sphmag11G117000.1
h36n13,Worker-875e8c83-71d9-4f40-821b-7dabdcee0c25,1673626582.9056633,1673626585.9210918,processing,0,Sphmag15G013000.1
h36n13,Worker-d36f69b9-0783-4051-971c-ff2da02b9634,1673626576.001675,1673626576.03481,postprocessing,0,Sphmag06G078300.1
h36n13,Worker-bded9027-d692-4e62-86ac-b58d95c9d5b7,1673626576.0214796,1673626576.0531616,postprocessing,0,Sphmag16G002600.1
h36n13,Worker-5513d8d4-5d15-4bdd-8e51-a4d707aed9a6,1673626576.0690992,1673626576.1189322,postprocessing,0,Sphmag11G038100.1
h36n13,Worker-8c194814-95d4-4333-941b-c4b310cc0bb2,1673626583.5620687,1673626586.0774467,processing,0,Sphmag18G097000.1
h36n12,Worker-02353b1d-90da-4db6-b355-37f95ccc081c,1673626583.7175367,1673626586.1326268,processing,0,Sphmag08G122700.1
h36n12,Worker-8d161639-d8af-4ca0-a125-ccd3595c3d34,1673626576.2197144,1673626576.2495275,postprocessing,0,Sphmag05G037500.1
h36n12,Worker-af5f284c-b39e-4348-b45d-93b21884cc39,1673626576.287799,1673626576.3224769,postprocessing,0,Sphmag02G179700.1
h36n12,Worker-240ffd60-9624-4f4e-a3bd-b49e6fb34d85,1673626583.860504,1673626586.3603692,processing,0,Sphmag15G045400.1
h36n13,Worker-14589dfc-7e89-4a53-8923-8398e3691ced,1673626576.5159175,1673626576.5612276,postprocessing,0,Sphmag03G037800.1
h36n12,Worker-a7db87ea-e7a7-4647-8e4c-b716d5389516,1673626576.5665843,1673626576.5907216,postprocessing,0,Sphmag17G060300.1
h36n12,Worker-6da2b57c-d1d2-42e4-95f2-e4a2e13bfea1,1673626584.0784497,1673626586.6024537,processing,0,Sphmag14G093800.1
h36n12,Worker-083618c2-eb4f-48eb-b6f1-c0d9064305ea,1673626576.6574159,1673626576.7090845,postprocessing,0,Sphmag19G047500.1
h36n13,Worker-806b55f5-06e1-425a-8ed0-3fead0926045,1673626576.9366605,1673626576.9794564,postprocessing,0,Sphmag01G089200.1
h36n13,Worker-3739cfad-ace5-416c-a032-79ffb3f38b5f,1673626577.0879254,1673626577.1296027,postprocessing,0,Sphmag10G018000.1
h36n13,Worker-7de4180b-5416-47a5-b5e4-e3def4851f7d,1673626584.7636886,1673626587.285003,processing,0,Sphmag02G040300.1
h36n12,Worker-8729f565-2d94-4f65-87b4-58b63508d478,1673626584.57053,1673626587.3806462,processing,0,Sphmag02G187300.1
h36n13,Worker-25ccc599-e18a-4cf5-a113-5d760801f9fe,1673626584.9188426,1673626587.3811293,processing,0,Sphmag12G059300.1
h36n12,Worker-d67a2f4b-8ad7-47d6-910f-778f31051a0d,1673626585.8622758,1673626587.6309934,processing,0,Sphmag13G047300.1
h36n12,Worker-25a5d660-2734-43fe-a30c-c24a3f48c7f5,1673626577.6438541,1673626577.6861327,postprocessing,0,Sphmag02G037700.1
h36n13,Worker-14da6346-a2c8-45bc-998a-14374b97e1c6,1673626577.7561874,1673626577.791123,postprocessing,0,Sphmag03G134300.1
h36n13,Worker-61f0bb78-eae6-419c-bb30-6ffc27e308d0,1673626585.402008,1673626587.955232,processing,0,Sphmag09G080600.1
h36n12,Worker-ed3f74b9-1ebf-4bd4-a2dc-7af9f72bfec1,1673626578.412672,1673626578.460411,postprocessing,0,Sphmag12G119600.1
h36n13,Worker-8539bd1e-1b85-4929-809f-6c14462511ad,1673626585.824051,1673626588.3980365,processing,0,Sphmag04G074500.1
h36n13,Worker-c7fcf421-c040-45f9-a1cf-5e20758ac21e,1673626578.4997828,1673626578.5329745,postprocessing,0,Sphmag02G011600.1
